tweet,processed_tweet,label,semantic_category
On my way to see Star Trek @ The Esquire.,way see_star trek esquir,neutral,movies
Going to see star trek soon with my dad.,go_see star_trek soon dad,neutral,movies
annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,annoy new trend internet peopl pick apart michael lewi malcolm_gladwel nobodi want read,neg,books
Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50,bill simmon convers malcolm_gladwel,neutral,books
Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,highli recommend malcolm_gladwel,pos,books
Blink by malcolm gladwell amazing book and The tipping point!,blink malcolm_gladwel amaz book tip point,pos,books
Malcolm Gladwell might be my new man crush,malcolm_gladwel might new man crush,pos,books
omg. The commercials alone on ESPN are going to drive me nuts.,omg commerci alon espn go drive nut,neg,cable TV
@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,play twitter_api sound fun may need take class find new friend like gener result api code,pos,Twitter
playing with cURL and the Twitter API,play curl twitter_api,neutral,Twitter
Hello Twitter API ;),hello twitter_api ;),pos,Twitter
playing with Java and the Twitter API,play java twitter_api,neutral,Twitter
@morind45 Because the twitter api is slow and most client's aren't good.,twitter_api slow client not good,neg,Twitter
yahoo answers can be a butt sometimes,yahoo answer butt sometim,neg,unlabeled
is scrapbooking with Nic =D,scrapbook nic =d,pos,unlabeled
RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,five thing wolfram alpha better vastli differ googl,pos,IT
just changed my default pic to a Nike basketball cause bball is awesome!!!!!,chang default pic nike basketbal bball awesom,pos,Nike
"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding",nike own nba playoff ad lebron kobe carmelo adida billup howard market brand,neutral,Nike
"'Next time, I'll call myself Nike'",next time call nike,neutral,Nike
New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT,new_blog post nike sb dunk low premium white gum,neutral,blogging
RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,told nike layoff start today :-(,neg,Nike
Back when I worked for Nike we had one fav word : JUST DO IT! :),back work nike one fav word :),pos,Nike
"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9",way total inspir freaki nike commerci,pos,Nike
"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.",give weka app engin interfac use bird strike data test logo given,neutral,unlabeled
"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t",brand new canon eo mp dslr camera canon mm len web technolog thread brand new canon eo,neutral,DSLR cameras
Class... The 50d is supposed to come today :),class suppos come today :),pos,unlabeled
needs someone to explain lambda calculus to him! :(,need someon explain lambda calculu :(,neg,IT
Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,took graduat field exam comput scienc today noth make feel like idiot lambda calculu,neg,IT
SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......,shout out east_palo alto buildin karizmakaz cal gta also thank profit doom univers hempz cracka,pos,cities
"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",yeahhh would not realli live east_palo alto could avoid guess summer,neg,cities
@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!,great stanford cours thank make avail public realli help inform start,pos,unlabeled
"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9",nvidia name stanford bill dalli chief scientist vp research,neutral,unlabeled
New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo,new_blog post harvard versu stanford win,neutral,blogging
@ work til 6pm... lets go lakers!!!,work til pm let us go laker,pos,politics
Damn you North Korea. http://bit.ly/KtMeQ,damn north_korea,neg,politics
Can we just go ahead and blow North Korea off the map already?,go ahead blow north_korea map alreadi,neg,politics
"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",north_korea pleas ceas douchebaggeri china not even like anymor,neg,politics
Why the hell is Pelosi in freakin China? and on whose dime?,hell pelosi freakin china whose dime,neg,politics
"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",burn cash chrysler gm stop financi tsunami bailout mean take handout,neg,car industry
insects have infected my spinach plant :(,insect infect spinach plant :(,neg,unlabeled
wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,wish could catch everi mosquito world burn slowly.they bitin shit outta day.mosquito asshol insect,neg,unlabeled
"just got back from church, and I totally hate insects.",got back church total hate insect,neg,unlabeled
Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,got mcdonald goddam egg make sick yeah laker date go laker not much updat well true suck,neg,food
omgg i ohhdee want mcdonalds damn i wonder if its open lol =],omgg ohhde want mcdonald damn wonder open lol =],pos,food
History exam studying ugh,histori exam studi ugh,neg,unlabeled
"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",hate revis bore total unprepar exam tomorrow :( thing not look good,neg,unlabeled
"Higher physics exam tommorow, not lookin forward to it much :(",higher physic exam tommorow not lookin forward much :(,neg,unlabeled
"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",bank holiday yet work exam season suck :(,neg,unlabeled
Cheney and Bush are the real culprits - http://fwix.com/article/939496,cheney bush real culprit,neg,politics
Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ,life bitch dick cheney bipart tlot tcot hhr gop dnc,neg,unlabeled
"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",dick cheney dishonest speech tortur terror obama fred kaplan slate,neg,politics
"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)",republican parti bunch anti-abort zealot could not draw fli dump neal boortz radio,neg,unlabeled
is Twitter's connections API broken? Some tweets didn't make it to Twitter...,twitter connect api broken tweet not make twitter,neg,Twitter
"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",srsli hate stupid twitter_api timeout thing sooo annoy :(,neg,Twitter
"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too",realli like learn jqueri book worth look,pos,books
jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631,jqueri ui book review,neutral,books
"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT",interest ad adob goodbi_silverstein partner youtub adob cs le sen propr,pos,unlabeled
Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!,goodbi_silverstein agenc new site great,pos,unlabeled
"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*",goodbi_silverstein new site enjoy nice find,pos,unlabeled
The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!,ever amaz psyop goodbi_silverstein partner hp go play effect,pos,unlabeled
top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9,top ten watch viral-video chart love nike mostvaluablepuppet campaign wieden kennedi,pos,Nike
zomg!!! I have a G2!!!!!!!,zomg,pos,unlabeled
Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl,ok lot buzz io lucki free,pos,unlabeled
just got a free G2 android at google i/o!!!,got free android googl,pos,mobile devices
Guess I'll be retiring my G1 and start using my developer G2 woot #googleio,guess retir start use develop woot googleio,pos,unlabeled
At GWT fireside chat @googleio,gwt firesid chat,neutral,unlabeled
I am happy for Philip being at GoogleIO today,happi philip googleio today,pos,unlabeled
Lakers played great!  Cannot wait for Thursday night Lakers vs. ???,laker play great cannot wait thursday night laker vs,pos,sports
"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8",hi anyon great sourc advic viral_market,neutral,unlabeled
Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK,judd apatow creat fake sitcom nbc.com market new movi viral_market best,pos,movies
"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz",case studi use viral_market add peopl list,neutral,unlabeled
VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,viral_market fail acia pill brand oughta get shut hack people messenger get msg day arrrgh,neg,unlabeled
watching Night at The Museum . Lmao,watch_night museum lmao,pos,movies
i loved night at the museum!!!,love night_museum,pos,movies
going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin,go_see new night_museum movi famili oh boy three year old movi fuin,neutral,movies
just got back from the movies.  went to see the new night at the museum with rachel.  it was good,got back movi went see new night_museum rachel good,pos,movies
Just saw the new Night at the Museum movie...it was...okay...lol 7\10,saw new night_museum movieit wasokaylol,neutral,movies
Going to see night at the museum 2 with tall boy,go_see night_museum tall boy,neutral,movies
@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good,take date see_night museum whenev wantit look sooo good,pos,movies
no watching The Night At The Museum. Getting Really Good,no watch_night museum get realli good,pos,movies
"Night at the Museum, Wolverine and junk food - perfect monday!",night_museum wolverin junk food perfect monday,pos,food
saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!,saw night_museum last_night pretti crazi movi cast awesom well worth robin william forev,pos,movies
I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.,saw night_museum battl swithsonian today okay typic kid ben stiller movi,neutral,movies
Taking Katie to see Night at the Museum.  (she picked it),take kati see_night museum pick,neutral,movies
Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL,night_museum tonit instead :( oh well yr old better enjoy lol,neg,movies
GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv,gm say expect announc sale hummer soon reuter wdsugm say expect announc sale hummer,neutral,car industry
It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable,unfortun stimulu plan put place twice help gm back american peopl led inevit,neg,car industry
Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.,tell give gm use program support unemploy,neg,car industry
@jdreiss oh yes but if GM dies it will only be worth more boo hahaha,oh ye gm die worth boo hahaha,neg,car industry
Time Warner cable is down again 3rd time since Memorial Day bummer!,time_warner cabl rd time sinc memori day bummer,neg,cable TV
"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection.",would rather pay reason yearli tax free fast internet get goug time_warner slow connect,neg,cable TV
NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner,nooo dvr die half way ea presser hate time_warner,neg,cable TV
F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!,ck time_warner cabl cking suck ball hd tv damn hd channel hardli ever come bullshit,neg,cable TV
time warner has the worse customer service ever. I will never use them again,time_warner wors custom servic ever never use,neg,cable TV
Time warner is the devil. Worst possible time for the Internet to go out.,time_warner devil worst possibl time internet go,neg,cable TV
Fuck no internet damn time warner!,fuck no internet damn time_warner,neg,cable TV
time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.,time_warner realli pick worst time not work want get mtv.com watch hill wtfff,neg,cable TV
I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.,hate time_warner sooo wish vio not watch fricken met game buffer feel like watch free internet porn,neg,cable TV
Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :),ahhgot rid stupid time_warner today take nap roomi cook pretti good end monday :),neg,cable TV
Time Warner's HD line up is crap.,time_warner hd line crap,neg,cable TV
is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!,fuck time_warner cabl not know modem could explod susan boyl suck,neg,cable TV
Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk),time_warner cabl pull plug girlfriend experi www.tinyurl.com/mfk,neutral,cable TV
Time Warner Cable slogan: Where calling it a day at 2pm Happens.,time_warner cabl slogan call day pm happen,neg,cable TV
"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3",rocawear head china build store,neutral,politics
"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n",climat focu turn beij unit nation us european govern call china co-of,neutral,politics
myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba,myfoxdc barri student back trip china silver spring high school class trip china en,neutral,politics
"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv",three china aerospac giant develop tianjin binhai new area yuan invest,neutral,politics
http://xi.gs/04FO GM CEO: China will continue to be key partner,gm ceo china continu key partner,neutral,politics
RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu,time buy gm car,neutral,car industry
Recovering from surgery..wishing @julesrenner was here :(,recov surgerywish :(,neg,unlabeled
"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!",wrist still hurt get look hate dr dentist scari place :( time watch eagl eye want join txt,pos,dentist
Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?,dentist tomorrow brush well morn like make hair nice get cut,neutral,dentist
"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!",dentist lie not feel discomo prob not even need pain pill man twippin shit hu mani pill take,neg,dentist
@kirstiealley my dentist is great but she's expensive...=(,dentist great expens =(,neg,dentist
@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml,pet dentist,neutral,dentist
is studing math ;) tomorrow exam and dentist :),stude math ;) tomorrow exam dentist :),pos,dentist
my dentist was wrong... WRONG,dentist wrong wrong,neg,dentist
Going to the dentist later.:|,go dentist later :|,neg,dentist
Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?,son look car onlin hate car shop would rather go dentist anyon good car good price sell,neg,dentist
NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx,ncaa basebal super region ram club,neutral,sports
just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR,start play major leagu basebal,neutral,sports
Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.,cardin basebal advanc super region face cs-fullerton friday,neutral,sports
Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796,soni coupon code expir soon,neutral,unlabeled
waiting in line at safeway.,wait line safeway,neutral,food
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?,luke got stop walk safeway ask empti pocket lift shirt jack,neg,food
Did not realize there is a gym above Safeway!,not realiz gym safeway,neutral,food
"@XPhile1908 I have three words for you: ""Safeway dot com""",three word safeway dot com,neutral,food
Safeway is very rock n roll tonight,safeway rock roll tonight,pos,food
Bout to hit safeway I gotta eat,bout hit safeway got eat,neutral,food
Jake's going to safeway!,jake go safeway,neutral,food
Found a safeway. Picking up a few staples.,found safeway pick stapl,neutral,food
Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w,safeway super-market via mobil coupon,neutral,food
The safeway bathroom still smells like ass!,safeway bathroom still smell like ass,neg,food
"At safeway on elkhorn, they move like they're dead!",safeway elkhorn move like dead,neg,food
Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O,normal weight get normal eat blog,neutral,blogging
Is Eating and Watching Movies....,eat watch movi,neutral,food
eating sashimi,eat sashimi,neutral,food
is eating  home made yema,eat home made yema,neutral,food
eating cake,eat cake,neutral,food
i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.,love dwight howard vitamin water commerci wish nike not adida lol,pos,Nike
Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic,found noth nike factori :/ banana republ outlet,neg,Nike
iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc,iphon may get radio tag nike recently-releas itun version suggest voiceov function,neutral,mobile devices
is lovin his Nike  already and that's only from running on the spot in his bedroom,lovin nike alreadi run spot bedroom,pos,Nike
Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp,launch imgsearch ajax jqueri webapp,neutral,IT
@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.,final got around use jqueri make bio collaps yay slide anim,pos,IT
RT @jquery: The Ultimate jQuery List - http://jquerylist.com/,ultim jqueri list,neutral,IT
I just extracted and open-sourced a jQuery plugin from Stormweight to highlight text with a regular expression: http://bit.ly/ybJKb,extract open-sourc jqueri plugin stormweight highlight text regular express,neutral,IT
@anna_debenham what was the php jquery hack?,php jqueri hack,neutral,IT
jQuery Cheat Sheet http://www.javascripttoolbox.com/jquery/cheatsheet/,jqueri cheat sheet,neutral,IT
Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5,begin javascript css develop jqueri javascript css jqueri,neutral,IT
"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style.",right lol get high expect warren_buffet style,pos,Warren Buffett
"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet",great someon sit shade today someon plant tree long time ago warren_buffet,pos,Warren Buffett
Warren Buffet on the economy http://ping.fm/Lau0p,warren_buffet economi,neutral,Warren Buffett
"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune",warren_buffet becam time richest man unit state not work invest big idea lead fortun,pos,Warren Buffett
"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*",accord creat school notr dame receiv ncaa higher rate :) sweet,pos,sports
All-Star Basketball Classic Tuesday Features Top Talent: Chattanooga's Notre Dame High School will play host.. http://bit.ly/qltJA,all-star basketbal classic tuesday featur top talent chattanooga notr dame high school play host,neutral,sports
@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2,definit warranti experi amazon support kindl great contact kindl,pos,books
"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ...",look avail amazon kindl kindl dx get top electron book reader period free day ship,neutral,books
Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.,time_warner road runner custom support absolut blow hate not high-spe net option readi go nuclear,neg,cable TV
Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!,time_warner cabl phone rep dumber nail ugh cabl work min ago not wtf,neg,mobile devices
@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :),tri time_warner not nice record today :),neg,cable TV
OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.,omg time_warner f'ed internet instal instead today next saturday anoth week internet ehfa vfhg fml,neg,cable TV
"wth..i have never seen a line this loooong at time warner before, ugh.",wthi never seen line looong time_warner ugh,neg,cable TV
Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon,impati await arriv time_warner guy way pretti insid afternoon,neg,cable TV
Man accosts Roger Federer during French Open http://ff.im/3HCPT,man accost roger feder french open,neutral,sports
Naive Bayes using EM for Text Classification. Really Frustrating...,naiv bay use text classif realli frustrat,neg,IT
We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.,went stanford univers today got tour made want go back colleg also decid kid go,pos,unlabeled
Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/LwOUR tip @techmeme,investig pend death stanford cs prof googl mentor rajeev motwani tip,neutral,unlabeled
"I'm going to bed. It was a successful weekend. Stanford, here I come.",go bed success weekend stanford come,neutral,unlabeled
"@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags",harass call car warranti chang number not fix call everi number d-bag,neg,unlabeled
Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.,block unit blood servic use googl voic call car warranti guy,neg,unlabeled
#at&amp;t is complete fail.,complet fail,neg,unlabeled
@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU,oh snap work not,neg,unlabeled
@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal,realli not want phone servicethey suck come signal,neg,mobile devices
"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)",say cut small talk t new slogan fk give us money apolog bob geldof,neg,politics
pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299,piss t mid-contract upgrad price iphon not go pay someth thought,neg,mobile devices
Safari 4 is fast :) Even on my shitty AT&amp;T tethering.,safari fast :) even shitti tether,neg,mobile devices
@ims What is AT&amp;T fucking up?,fuck,neg,unlabeled
